x1,y1,x2,y2
543477.5115026757,5121092.428847079,546062.4802401843,5127500.145073451
546062.4802401843,5127500.145073451,548647.448977693,5133907.861299822
548647.448977693,5133907.861299822,551232.4177152016,5140315.577526194
551232.4177152016,5140315.577526194,553817.3864527103,5146723.293752565
553817.3864527103,5146723.293752565,556402.3551902189,5153131.009978937
556402.3551902189,5153131.009978937,558987.3239277275,5159538.726205308
558987.3239277275,5159538.726205308,561572.2926652362,5165946.44243168
561572.2926652362,5165946.44243168,564157.2614027448,5172354.158658051
564157.2614027448,5172354.158658051,566742.2301402533,5178761.874884423
566742.2301402533,5178761.874884423,569139.5473635276,5182086.564284508
569139.5473635276,5182086.564284508,569238.540460804,5181908.331274819
569238.540460804,5181908.331274819,564855.0369601763,5177239.484624408
564855.0369601763,5177239.484624408,559011.11076644,5174843.271337103
559011.11076644,5174843.271337103,552709.4752777697,5172278.43013128
552709.4752777697,5172278.43013128,545907.1363192894,5171983.9406163
545907.1363192894,5171983.9406163,540741.368007462,5168795.675421862
540741.368007462,5168795.675421862,535842.681852218,5164221.285461845
535842.681852218,5164221.285461845,531775.1555181433,5158763.704169791
531775.1555181433,5158763.704169791,528140.2938942668,5153142.77372318
528140.2938942668,5153142.77372318,523035.7388815834,5148549.132070408
523035.7388815834,5148549.132070408,519569.23947546975,5142644.408411016
519569.23947546975,5142644.408411016,516576.11953856,5136517.312423061
516576.11953856,5136517.312423061,513532.6721470668,5130327.266751821
513532.6721470668,5130327.266751821,513453.69292737637,5123591.567259375
513453.69292737637,5123591.567259375,512142.0120313614,5116942.738001173
512142.0120313614,5116942.738001173,508863.3481538766,5110952.039018427
508863.3481538766,5110952.039018427,508133.72542487056,5104155.950225774
508133.72542487056,5104155.950225774,505766.7475549715,5097696.468938556
505766.7475549715,5097696.468938556,503403.0474036832,5091366.717018739
503403.0474036832,5091366.717018739,502519.2204067545,5084542.064789577
502519.2204067545,5084542.064789577,502058.1334942058,5077657.873136503
502058.1334942058,5077657.873136503,500736.4027825949,5070957.283298092
500736.4027825949,5070957.283298092,500616.479327398,5064058.409928555
500616.479327398,5064058.409928555,500585.29780544585,5057180.825961675
500585.29780544585,5057180.825961675,500454.79198335495,5050279.187826226
500454.79198335495,5050279.187826226,500709.0108865797,5043416.619022428
500709.0108865797,5043416.619022428,500246.9726895754,5036542.419978577
500246.9726895754,5036542.419978577,500790.9399896864,5029738.731156943
500790.9399896864,5029738.731156943,500205.8370920549,5022951.891191109
500205.8370920549,5022951.891191109,499780.9405878769,5016133.885655805
499780.9405878769,5016133.885655805,502055.84537330945,5020516.597744548
502055.84537330945,5020516.597744548,504756.03584686154,5026876.618343425
504756.03584686154,5026876.618343425,507456.22632041364,5033236.638942302
507456.22632041364,5033236.638942302,510156.4167939657,5039596.659541179
510156.4167939657,5039596.659541179,512856.6072675178,5045956.680140056
512856.6072675178,5045956.680140056,515556.79774106987,5052316.700738933
515556.79774106987,5052316.700738933,518256.98821462196,5058676.72133781
518256.98821462196,5058676.72133781,520957.178688174,5065036.741936687
520957.178688174,5065036.741936687,523657.3691617261,5071396.762535565
523657.3691617261,5071396.762535565,526357.5596352782,5077756.783134441
526357.5596352782,5077756.783134441,529057.7501088303,5084116.803733318
529057.7501088303,5084116.803733318,531757.9405823824,5090476.824332195
531757.9405823824,5090476.824332195,534458.1310559345,5096836.844931073
534458.1310559345,5096836.844931073,537158.3215294864,5103196.86552995
537158.3215294864,5103196.86552995,539858.5120030385,5109556.886128826
539858.5120030385,5109556.886128826,542558.7024765906,5115916.906727703
542558.7024765906,5115916.906727703,545258.8929501427,5122276.9273265805
545258.8929501427,5122276.9273265805,547959.0834236948,5128636.947925458
547959.0834236948,5128636.947925458,550659.2738972469,5134996.968524335
550659.2738972469,5134996.968524335,553359.464370799,5141356.989123211
553359.464370799,5141356.989123211,556059.6548443511,5147717.009722088
556059.6548443511,5147717.009722088,558759.8453179031,5154077.030320966
558759.8453179031,5154077.030320966,561460.0357914552,5160437.050919843
561460.0357914552,5160437.050919843,564160.2262650073,5166797.071518719
564160.2262650073,5166797.071518719,566860.4167385594,5173157.092117596
566860.4167385594,5173157.092117596,569560.6072121115,5179517.112716474
569560.6072121115,5179517.112716474,570433.4362661567,5183249.666752785
499770.33212257805,5014706.091822087,499947.8111377351,5021554.145364473
499947.8111377351,5021554.145364473,500649.7527890324,5028335.514899609
500649.7527890324,5028335.514899609,500304.26585968386,5035114.00627859
500304.26585968386,5035114.00627859,500729.6777508166,5041988.173869404
500729.6777508166,5041988.173869404,500327.63722848846,5048860.530477429
500327.63722848846,5048860.530477429,500611.95131862623,5055753.308464285
500611.95131862623,5055753.308464285,500621.0452269036,5062632.158677587
500621.0452269036,5062632.158677587,500761.5069671011,5069530.803777043
500761.5069671011,5069530.803777043,501632.82286157296,5076300.183578713
501632.82286157296,5076300.183578713,502587.80001283635,5083100.055127105
502587.80001283635,5083100.055127105,503167.4271330597,5089959.079216829
503167.4271330597,5089959.079216829,505625.0549025025,5096291.0805029385
505625.0549025025,5096291.0805029385,507747.9955325894,5102775.05314925
507747.9955325894,5102775.05314925,508688.23017612303,5109534.16937624
