x1,y1,x2,y2
601633.8527022394,4866130.934373728,600690.3043975835,4866069.212634236
601633.8527022394,4866130.934373728,600690.3043975835,4866069.212634236
589353.6886954118,4865037.73127783,590355.7514321068,4864856.069064075
589353.6886954118,4865037.73127783,590355.7514321068,4864856.069064075
590378.8167259924,4864878.423397255,589388.9266728354,4865064.2675946085
590378.8167259924,4864878.423397255,589388.9266728354,4865064.2675946085
569527.435565423,4867216.620303478,574593.6032886293,4866977.122895253
569552.1223083187,4867243.016560549,568475.797968595,4867232.189138766
569552.1223083187,4867243.016560549,568475.797968595,4867232.189138766
592348.1701309285,4864996.897062535,592609.4802083453,4865190.949948547
601533.6347709843,4866071.051308344,605029.6348694568,4867783.532727984
605886.1073227376,4867888.482802264,607832.9235220731,4867763.741546002
607832.9235220731,4867763.741546002,612233.5121038298,4863438.6832001405
590355.7514321068,4864856.069064075,592097.2715930527,4865140.976166755
589388.9266728354,4865064.2675946085,579598.3330242559,4865177.498544705
579598.3330242559,4865177.498544705,575438.0223984222,4867036.662597452
592097.2715930527,4865140.976166755,592178.0236957327,4865048.706455728
592097.2715930527,4865140.976166755,592609.4802083453,4865190.949948547
592609.4802083453,4865190.949948547,600617.6777715563,4866045.668438628
600690.3043975835,4866069.212634236,590378.8167259924,4864878.423397255
570654.2696960316,5183399.49035229,571634.6050405027,5184263.600335352
570654.2696960316,5183399.49035229,571129.5102280586,5183757.335420654
571634.6050405027,5184263.600335352,571686.6188537858,5184432.506594104
571624.6300243442,5184307.169341672,570706.1258721742,5183453.3917228235
570706.1258721742,5183453.3917228235,569240.7599989424,5182310.093671626
523856.0400874275,4839493.233872809,524411.195821703,4839993.982080731
523856.0400874275,4839493.233872809,524148.4874709344,4839681.471275413
524148.4874709344,4839681.471275413,524411.195821703,4839993.982080731
524148.4874709344,4839681.471275413,524309.2933134772,4839726.280087116
524411.195821703,4839993.982080731,533298.7473124365,4850506.911931836
541117.9048093008,4858769.48903295,541224.1399972565,4859052.087711159
536795.0637739189,4854643.705957553,536381.7574765021,4854063.221710811
536795.0637739189,4854643.705957553,536381.7574765021,4854063.221710811
541520.0011914261,4859432.569177096,541163.7627293483,4859690.499060463
541520.0011914261,4859432.569177096,541104.9537391594,4859251.019267932
540651.5725898935,4859052.444854425,536795.0637739189,4854643.705957553
541122.114447057,4859231.266221732,541599.7545555031,4859438.64416774
541599.7545555031,4859438.64416774,544112.7295138806,4861635.4548136275
544112.7295138806,4861635.4548136275,549980.9325360939,4864339.872905748
549980.9325360939,4864339.872905748,551477.2246934414,4866600.020501817
540653.9431280248,4859024.78075946,541096.3853443459,4858948.1339614205
540653.9431280248,4859024.78075946,541122.114447057,4859231.266221732
524426.2028060642,4840045.081843968,523791.08597636473,4839473.099641644
524426.2028060642,4840045.081843968,523791.08597636473,4839473.099641644
536381.7574765021,4854063.221710811,524426.2028060642,4840045.081843968
536419.0994453081,4854067.768876585,536823.607159041,4854635.333935781
536419.0994453081,4854067.768876585,536823.607159041,4854635.333935781
536823.607159041,4854635.333935781,540653.9431280248,4859024.78075946
551477.2246934414,4866600.020501817,551617.687281178,4866519.585387525
551477.2246934414,4866600.020501817,552017.8738698413,4866813.218768111
541145.2645918039,4859699.40326976,541029.0783866387,4859432.027198632
523791.08597636473,4839473.099641644,520496.34330129996,4836067.4411981
533298.7473124365,4850506.911931836,534073.0699147906,4851552.062386747
533298.7473124365,4850506.911931836,533476.2919073941,4850702.33615699
533476.2919073941,4850702.33615699,533618.0640258875,4850781.963729902
533476.2919073941,4850702.33615699,533629.740254287,4850895.511018431
533795.7466833204,4851068.8834119905,533911.9229236324,4851240.084548048
533911.9229236324,4851240.084548048,534073.0699147906,4851552.062386747
534073.0699147906,4851552.062386747,536419.0994453081,4854067.768876585
541104.9537391594,4859251.019267932,540651.5725898935,4859052.444854425
533767.9860497216,4850915.991936024,533911.9229236324,4851240.084548048
541224.1399972565,4859052.087711159,541599.7545555031,4859438.64416774
541029.0783866387,4859432.027198632,540651.5725898935,4859052.444854425
541137.5801573895,4859435.808611079,541029.0783866387,4859432.027198632
541100.1244987324,4859016.342945593,541224.1399972565,4859052.087711159
529638.0951331544,4894456.017147796,529298.8262178617,4894600.134816741
529638.0951331544,4894456.017147796,528886.9273984551,4894973.306742145
528886.9273984551,4894973.306742145,527916.7738945213,4896844.495537957
528892.8795613383,4894918.862217202,529647.8511166839,4894429.492270204
528892.8795613383,4894918.862217202,529293.8065669074,4894484.15111361
529293.8065669074,4894484.15111361,529647.8511166839,4894429.492270204
529647.8511166839,4894429.492270204,533272.25095134,4892706.375169043
527891.17507754,4896844.38666953,528036.2611299095,4895841.11662949
541573.8064519812,4872895.138649742,541398.2271534891,4873237.950593486
545757.7541208547,4869196.859394073,544363.6149255161,4869124.134094731
545757.7541208547,4869196.859394073,544363.6149255161,4869124.134094731
557937.3771790137,4867196.247158225,556688.1540574612,4867192.267543878
557937.3771790137,4867196.247158225,557732.9939104766,4867211.368028299
551473.687903787,4866628.672275175,549976.1837820779,4864375.624825848
