x1,x2,y1,y2
-0.0218362,-0.0217154,-0.00959977,-0.00982181
-0.0217154,-0.0215806,-0.00982181,-0.00996012
-0.0215806,-0.0214482,-0.00996012,-0.0100531
-0.0216291,-0.0211749,-0.00770286,-0.00733916
-0.0211749,-0.0207211,-0.00733916,-0.00697575
-0.0224233,-0.0215718,-0.00994876,-0.00846159
-0.0215718,-0.0207211,-0.00846159,-0.00697575
-0.0224233,-0.0227751,-0.00994876,-0.0110245
-0.0227751,-0.0231261,-0.0110245,-0.0120988
-0.0182471,-0.019193,-0.0106853,-0.0106382
-0.019193,-0.0200508,-0.0106382,-0.0105287
-0.0200508,-0.0207495,-0.0105287,-0.0103507
-0.0207495,-0.0212463,-0.0103507,-0.010158
-0.0212463,-0.0215343,-0.010158,-0.0100169
-0.0215343,-0.0216431,-0.0100169,-0.00995746
-0.0216431,-0.0216286,-0.00995746,-0.0099646
-0.0216286,-0.0215498,-0.0099646,-0.0100045
-0.0215498,-0.0214482,-0.0100045,-0.0100531
-0.0182471,-0.0166039,-0.0106853,-0.0100855
-0.0166039,-0.0151551,-0.0100855,-0.00951071
-0.0151551,-0.0140259,-0.00951071,-0.00895938
-0.0140259,-0.0132501,-0.00895938,-0.00840563
-0.0132501,-0.0127918,-0.00840563,-0.00782975
-0.0127918,-0.0125699,-0.00782975,-0.00724919
-0.0125699,-0.0124657,-0.00724919,-0.00672001
-0.0124657,-0.0123362,-0.00672001,-0.00630086
-0.0123362,-0.012058,-0.00630086,-0.00599879
-0.012058,-0.0115875,-0.00599879,-0.00573369
-0.0115875,-0.0109822,-0.00573369,-0.00535658
-0.0109822,-0.0103511,-0.00535658,-0.00472737
-0.0103511,-0.00976627,-0.00472737,-0.00380992
-0.00976627,-0.00920771,-0.00380992,-0.00271531
-0.00920771,-0.00858929,-0.00271531,-0.00165485
-0.00858929,-0.00783995,-0.00165485,-0.0008333
-0.00783995,-0.00696716,-0.0008333,-0.000357133
-0.00696716,-0.0060518,-0.000357133,-0.000211637
-0.0060518,-0.00518786,-0.000211637,-0.000303597
-0.00518786,-0.00442079,-0.000303597,-0.000525695
-0.00442079,-0.00372588,-0.000525695,-0.000798447
-0.0217374,-0.0212176,-0.0142183,-0.0138496
-0.0212176,-0.0207489,-0.0138496,-0.0134745
-0.0207489,-0.0203683,-0.0134745,-0.013053
-0.0203683,-0.0200917,-0.013053,-0.0125103
-0.0200917,-0.0199165,-0.0125103,-0.0117762
-0.0199165,-0.0198293,-0.0117762,-0.0108362
-0.0198293,-0.0198149,-0.0108362,-0.0097509
-0.0198149,-0.0198612,-0.0097509,-0.00862733
-0.0198612,-0.0199593,-0.00862733,-0.0075629
-0.0199593,-0.020099,-0.0075629,-0.00660589
-0.020099,-0.0202677,-0.00660589,-0.0057542
-0.0202677,-0.0204524,-0.0057542,-0.00498215
-0.0204524,-0.0206424,-0.00498215,-0.00426734
-0.0206424,-0.0208286,-0.00426734,-0.00359873
